"CustomerID","LifeTime_Value"
CUST023748,15215.79
CUST009614,12160.96
CUST034178,11418.880000000001
CUST001153,11282.96
CUST004883,11214.44
CUST000787,10962.32
CUST015677,10956.1
CUST042689,10726.8
CUST015231,10638.789999999999
CUST033270,10593.41
CUST045687,10502.95
CUST027576,10490.02
CUST041326,10453.779999999999
CUST046344,10419.34
CUST016051,10291.57
CUST047880,10186.18
CUST019599,10179.28
CUST002209,10152.95
CUST026474,10152.949999999999
CUST048737,10125.529999999999
CUST007994,10117.75
CUST016632,10067.31
CUST001187,10034.75
CUST029942,9969.9
CUST007695,9928.54
CUST033049,9906.47
CUST048476,9894.369999999999
CUST010510,9893.57
CUST020111,9724.46
CUST014103,9619.92
CUST007047,9595.97
CUST014538,9587.61
CUST024077,9584.32
CUST000069,9578.62
CUST012240,9533.4
CUST032008,9514.36
CUST026011,9434.99
CUST006569,9404.92
CUST014674,9403.91
CUST007089,9368.89
CUST038801,9334.87
CUST017112,9260.76
CUST043080,9244.92
CUST002076,9221.81
CUST045093,9172.75
CUST045281,9148.25
CUST035325,9143.05
CUST033114,9139.78
CUST008082,9118.11
CUST039142,9115.72
CUST030413,9110.55
CUST017321,9036.1
CUST016204,9029.21
CUST005291,9023.3
CUST047509,9019.970000000001
CUST041571,9018.45
CUST034423,9018.31
CUST020730,8997.53
CUST039666,8995.76
CUST048800,8986.029999999999
CUST003516,8980.66
CUST014710,8953.3
CUST008264,8950.27
CUST009401,8940.58
CUST001307,8932.46
CUST019888,8930.78
CUST018324,8924.44
CUST048576,8901.03
CUST041801,8890.54
CUST031713,8889.26
CUST022597,8886.63
CUST025313,8871.74
CUST040084,8870.22
CUST001019,8805.44
CUST022189,8793.68
CUST003106,8783.42
CUST035061,8773.89
CUST034743,8771.51
CUST012297,8769.91
CUST022371,8763.85
CUST003203,8753.95
CUST016337,8743.17
CUST003275,8735.029999999999
CUST005236,8690.4
CUST002546,8684.539999999999
CUST029921,8678.88
CUST043977,8665.17
CUST014907,8644.91
CUST010755,8637.619999999999
CUST049572,8631.94
CUST021998,8631.14
CUST005426,8622.38
CUST010226,8591.59
CUST018950,8577.619999999999
CUST012644,8575.48
CUST024941,8566.82
CUST037038,8555.47
CUST034665,8542.42
CUST044051,8521.98
CUST012619,8518.619999999999
CUST011328,8502.51
CUST012726,8493.0
CUST016207,8492.62
CUST048890,8483.369999999999
CUST027257,8451.53
CUST021697,8435.81
CUST004319,8430.42
CUST008185,8414.05
CUST011320,8409.59
CUST015666,8398.92
CUST025564,8384.01
CUST040423,8378.6
CUST021393,8376.1
CUST044317,8360.42
CUST012550,8352.119999999999
CUST047330,8345.11
CUST024318,8340.78
CUST021827,8316.85
CUST002980,8313.32
CUST001045,8304.34
CUST027258,8293.66
CUST007214,8277.17
CUST045969,8273.05
CUST030977,8255.0
CUST013981,8246.0
CUST042938,8237.88
CUST000665,8221.87
CUST002391,8219.58
CUST024738,8217.71
CUST016471,8214.41
CUST007193,8213.5
CUST010863,8207.91
CUST014117,8206.94
CUST025003,8198.69
CUST016959,8190.63
CUST024165,8189.95
CUST021336,8187.77
CUST026845,8183.28
CUST022416,8169.04
CUST002467,8166.589999999999
CUST042324,8162.37
CUST015310,8156.89
CUST041894,8155.69
CUST041588,8147.51
CUST045598,8146.83
CUST023774,8135.37
CUST029180,8123.69
CUST004265,8097.91
CUST010696,8077.09
CUST021871,8074.8099999999995
CUST016363,8073.509999999999
CUST040851,8067.129999999999
CUST035949,8065.46
CUST014088,8059.23
CUST011407,8056.650000000001
CUST010276,8049.54
CUST043619,8048.66
CUST002319,8025.0199999999995
CUST033346,8019.46
CUST049849,8009.860000000001
CUST040521,8009.51
CUST007219,8007.62
CUST013302,7992.22
CUST004945,7988.39
CUST049442,7983.2300000000005
CUST025957,7980.44
CUST046912,7979.76
CUST009061,7978.76
CUST016897,7978.63
CUST004513,7963.36
CUST049828,7957.0
CUST026079,7954.39
CUST044220,7954.14
CUST022037,7951.4800000000005
CUST028844,7949.87
CUST035269,7947.75
CUST006753,7938.3
CUST013501,7932.42
CUST031497,7930.280000000001
CUST034956,7923.780000000001
CUST030840,7920.98
CUST017419,7909.29
CUST042284,7908.45
CUST038053,7907.219999999999
CUST011610,7896.85
CUST043998,7896.030000000001
CUST045895,7888.23
CUST005548,7867.96
CUST021230,7859.23
CUST029833,7855.0199999999995
CUST023152,7853.18
CUST010912,7852.19
CUST021831,7849.01
CUST019724,7847.11
CUST006778,7839.610000000001
CUST037036,7828.07
CUST033287,7824.88
CUST006075,7824.24
CUST017663,7822.47
CUST011719,7821.0
CUST012123,7815.740000000001
CUST031103,7805.31
CUST041006,7796.47
CUST019541,7783.6900000000005
CUST025277,7781.45
CUST017200,7779.21
CUST015400,7774.12
CUST047022,7772.75
CUST017379,7769.15
CUST013257,7752.37
CUST010430,7745.0599999999995
CUST016597,7744.96
CUST010154,7739.7699999999995
CUST002294,7739.6
CUST004567,7738.58
CUST032779,7735.11
CUST040921,7723.5199999999995
CUST022922,7721.76
CUST024514,7719.27
CUST049605,7716.81
CUST016039,7714.85
CUST034890,7711.2
CUST034955,7704.89
CUST034861,7704.76
CUST031180,7693.91
CUST044400,7692.24
CUST008587,7689.219999999999
CUST014891,7682.38
CUST010049,7677.75
CUST047214,7676.889999999999
CUST041244,7674.68
CUST022743,7670.91
CUST014875,7667.76
CUST004351,7667.2300000000005
CUST016986,7665.820000000001
CUST029913,7663.02
CUST035178,7660.35
CUST024634,7648.1
CUST006949,7641.08
CUST011706,7635.63
CUST000713,7634.47
CUST003046,7630.86
CUST022579,7629.82
CUST027809,7629.540000000001
CUST014182,7629.21
CUST040163,7626.889999999999
CUST015438,7625.5
CUST010992,7612.85
CUST013992,7611.57
CUST010599,7610.86
CUST036755,7598.92
CUST012110,7597.860000000001
CUST036682,7593.6900000000005
CUST008330,7591.4800000000005
CUST001229,7578.5599999999995
CUST049651,7577.83
CUST040916,7576.860000000001
CUST018952,7571.78
CUST016968,7571.22
CUST005270,7569.13
CUST044939,7565.79
CUST000958,7555.5599999999995
CUST009383,7541.34
CUST041381,7537.93
CUST032877,7534.46
CUST011185,7529.75
CUST035888,7527.68
CUST025827,7520.73
CUST004260,7520.12
CUST049965,7514.42
CUST047579,7509.04
CUST030593,7508.67
CUST018468,7504.7
CUST012404,7495.6
CUST049133,7484.62
CUST021645,7484.47
CUST022023,7483.04
CUST030011,7479.52
CUST032689,7478.62
CUST039503,7471.89
CUST041176,7471.7699999999995
CUST037103,7467.53
CUST011552,7465.25
CUST016869,7464.9800000000005
CUST022942,7464.52
CUST038149,7463.5599999999995
CUST011080,7461.44
CUST048459,7447.56
CUST020882,7442.77
CUST025040,7439.8
CUST002690,7438.04
CUST021888,7436.71
CUST034372,7434.11
CUST036499,7430.76
CUST012568,7421.73
CUST012686,7420.95
CUST035395,7420.28
CUST049666,7412.86
CUST007276,7405.31
CUST034677,7401.7699999999995
CUST049259,7400.96
CUST008919,7398.17
CUST003219,7396.55
CUST034288,7391.2
CUST038853,7387.860000000001
CUST038937,7387.07
CUST009711,7384.2699999999995
CUST012698,7381.22
CUST020306,7378.68
CUST019054,7371.3
CUST023760,7368.21
CUST011498,7365.45
CUST021973,7364.08
CUST004932,7357.18
CUST026930,7354.98
CUST037162,7347.07
CUST003244,7337.37
CUST014982,7331.32
CUST009511,7329.32
CUST017004,7328.4
CUST039044,7322.11
CUST011496,7317.75
CUST012696,7316.46
CUST039948,7313.88
CUST036098,7308.58
CUST003555,7305.07
CUST011878,7304.97
CUST002300,7304.59
CUST015195,7302.06
CUST044884,7301.79
CUST017156,7300.35
CUST008908,7296.639999999999
CUST013085,7291.98
CUST013165,7291.6
CUST011365,7291.17
CUST044276,7288.29
CUST014960,7287.6900000000005
CUST047404,7283.68
CUST014524,7282.67
CUST034850,7282.26
CUST041689,7277.4
CUST024116,7272.15
CUST038416,7270.3
CUST046945,7265.61
CUST017301,7262.01
CUST038722,7248.16
CUST036218,7240.44
CUST001546,7238.14
CUST037208,7237.370000000001
CUST001597,7231.05
CUST014466,7230.74
CUST009124,7229.889999999999
CUST018469,7226.66
CUST021365,7226.53
CUST017250,7224.860000000001
CUST031962,7223.49
CUST037398,7222.89
CUST043329,7222.31
CUST005037,7219.38
CUST041991,7219.29
CUST046298,7214.92
CUST024169,7214.18
CUST044648,7212.37
CUST009487,7211.16
CUST025042,7210.25
CUST047886,7206.9
CUST030059,7205.66
CUST049596,7204.88
CUST020989,7203.87
CUST037042,7202.27
CUST040817,7200.96
CUST001885,7200.3099999999995
CUST002066,7195.6900000000005
CUST013532,7191.36
CUST013893,7184.92
CUST009178,7178.22
CUST013605,7172.95
CUST011228,7169.38
CUST016977,7168.75
CUST024647,7168.71
CUST041557,7166.79
CUST028392,7158.4800000000005
CUST027910,7158.33
CUST044123,7158.29
CUST014061,7157.9
CUST025587,7156.7
CUST038681,7156.13
